episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,1.0,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,1.0,68,
3,768,-3.1,0.0,16.67,2,0.0,0.5,1.0,78,
4,768,-4.1,0.0,25.0,3,0.0,0.6667,1.0,78,
5,896,-2.3,0.0,7.14,1,0.0,0.0,1.0,93,
6,896,-3.3,0.0,14.29,2,0.0,0.5,1.0,93,
7,960,-2.4,0.0,6.67,1,0.0,0.0,1.0,99,
8,960,-5.4,0.0,26.67,4,0.0,0.25,1.0,99,
9,1024,9.4,1.0,6.25,1,0.0,0.0,1.0,107,
10,1088,-3.6,0.0,11.76,2,0.5,0.0,1.0,116,
11,1152,-2.7,0.0,5.56,1,0.0,0.0,1.0,124,
12,1152,-3.7,0.0,11.11,2,0.0,0.5,1.0,124,
13,1152,6.2,1.0,22.22,4,0.0,0.75,1.0,124,
14,1280,-6.9,0.0,25.0,5,0.0,0.6,1.0,134,
15,1344,-4.0,0.0,9.52,2,0.5,0.5,1.0,139,
16,1408,-5.1,0.0,13.64,3,0.3333,0.0,1.0,146,
17,1408,-4.1,0.0,9.09,2,0.0,0.5,1.0,146,
18,1536,-3.3,0.0,4.17,1,0.0,0.0,1.0,160,
19,1536,-3.0,0.0,16.67,2,0.0,0.5,1.0,160,
20,1664,-5.5,0.0,11.54,3,0.3333,0.6667,1.0,167,
21,1728,-4.6,0.0,7.41,2,0.0,0.5,1.0,176,
22,1728,-3.6,0.0,7.41,2,0.0,0.5,1.0,176,
23,1792,-3.7,0.0,7.14,2,0.5,0.0,1.0,182,
24,1856,-4.8,0.0,6.9,2,0.0,0.5,1.0,192,
25,1920,-3.1,0.0,15.38,2,0.0,0.5,1.0,199,
26,1984,-6.0,0.0,9.68,3,0.0,0.6667,1.0,206,
27,2048,3.8,1.0,15.62,5,0.0,0.6,1.0,208,
28,2112,6.7,1.0,6.06,2,0.5,0.5,1.0,212,
29,2112,-5.2,0.0,6.06,2,0.0,0.5,1.0,212,
30,2304,-1.9,0.0,4.76,1,0.0,0.0,1.0,232,
31,2304,-8.5,0.0,16.67,6,0.1667,0.5,1.0,232,
32,2304,-1.6,0.0,12.5,1,0.0,0.0,1.0,232,
33,2432,-4.7,0.0,5.26,2,0.0,0.0,1.0,244,
34,2560,-4.9,0.0,5.0,2,0.0,0.0,1.0,260,
35,2816,-8.3,0.0,9.09,4,0.0,0.75,1.0,289,
