episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,256,-1.3,0.0,25.0,1,0.0,0.0,0.0,31,
2,384,11.4,1.0,33.33,2,0.0,0.5,0.0,45,
3,384,11.4,1.0,0.0,0,,,0.0,45,3
4,576,-0.8,0.0,22.22,2,0.0,0.0,0.0,59,
5,576,-1.8,0.0,11.11,1,0.0,0.0,0.0,59,
6,1152,-2.7,0.0,11.11,2,0.0,0.5,0.0,124,
7,1152,-1.7,0.0,22.22,4,0.0,0.5,0.0,124,
8,1280,-1.9,0.0,25.0,5,0.2,0.2,0.0,134,
9,1536,-2.6,0.0,5.56,1,0.0,0.0,0.0,161,
10,1728,-3.6,0.0,7.41,2,0.5,0.0,0.0,176,
11,1856,-2.8,0.0,10.34,3,0.0,0.3333,0.0,193,
12,2112,-4.2,0.0,15.15,5,0.0,0.8,0.0,213,
13,2176,-4.3,0.0,5.88,2,0.0,0.5,0.0,221,
14,2176,-4.3,0.0,11.76,4,0.0,0.25,0.0,221,
15,2240,-3.4,0.0,26.92,7,0.0,0.1429,0.0,228,
16,2688,-4.1,0.0,9.52,4,0.25,0.5,0.0,274,
17,2688,-5.1,0.0,7.14,3,0.0,0.3333,0.0,274,
18,2880,-5.4,0.0,13.33,6,0.1667,0.6667,0.0,298,
19,3136,-4.8,0.0,10.2,5,0.0,0.2,0.0,322,
20,3200,-5.0,0.0,14.0,7,0.0,0.4286,0.0,332,
21,3200,-4.0,0.0,4.0,2,0.0,1.0,0.0,332,
22,3200,-4.0,0.0,6.0,3,0.0,0.6667,0.0,332,
23,3200,-4.0,0.0,10.0,5,0.2,0.2,0.0,332,
24,3200,-5.0,0.0,12.0,6,0.0,0.6667,0.0,332,
25,3200,-5.0,0.0,12.0,6,0.0,0.5,0.0,332,
26,3200,-5.0,0.0,16.0,8,0.375,0.375,0.0,332,
27,3200,-5.0,0.0,6.0,3,0.0,0.3333,0.0,332,
28,3200,-4.0,0.0,6.0,3,0.0,0.0,0.0,332,
29,3200,-5.0,0.0,12.0,6,0.1667,0.6667,0.0,332,
30,3200,-5.0,0.0,8.0,4,0.5,0.5,0.0,332,
31,3200,-5.0,0.0,16.0,8,0.375,0.125,0.0,332,
32,3200,-4.0,0.0,8.0,4,0.25,0.5,0.0,332,
33,3200,-5.0,0.0,6.0,3,0.0,0.3333,0.0,332,
34,3200,-5.0,0.0,6.0,3,0.0,0.6667,0.0,332,
35,3200,-5.0,0.0,8.0,4,0.25,0.75,0.0,332,
36,3200,-5.0,0.0,8.0,4,0.0,0.75,0.0,332,
37,3200,-5.0,0.0,14.0,7,0.0,0.4286,0.0,332,
38,3200,-5.0,0.0,6.0,3,0.3333,1.0,0.0,332,
39,3200,-4.0,0.0,10.0,5,0.2,0.4,0.0,332,
40,3200,-5.0,0.0,12.0,6,0.0,0.5,0.0,332,
41,3200,-5.0,0.0,8.0,4,0.0,0.75,0.0,332,
42,3200,-5.0,0.0,4.0,2,0.0,0.5,0.0,332,
43,3200,-5.0,0.0,20.0,10,0.0,0.3,0.0,332,
44,3200,-4.0,0.0,8.0,4,0.25,0.25,0.0,332,
45,3200,-5.0,0.0,10.0,5,0.2,0.4,0.0,332,
46,3200,-4.0,0.0,10.0,5,0.0,0.6,0.0,332,
47,3200,-5.0,0.0,12.0,6,0.0,0.3333,0.0,332,
48,3200,-5.0,0.0,14.0,7,0.4286,0.4286,0.0,332,
49,3200,-5.0,0.0,18.0,9,0.2222,0.5556,0.0,332,
50,3200,-5.0,0.0,10.0,5,0.0,0.6,0.0,332,
51,3200,-5.0,0.0,6.0,3,0.0,0.6667,0.0,332,
52,3200,-5.0,0.0,6.0,3,0.0,0.3333,0.0,332,
53,3200,-5.0,0.0,6.0,3,0.3333,0.3333,0.0,332,
54,3200,-5.0,0.0,8.0,4,0.0,0.0,0.0,332,
55,3200,-4.0,0.0,10.0,5,0.4,0.6,0.0,332,
56,3200,-5.0,0.0,10.0,5,0.4,0.0,0.0,332,
57,3200,-4.0,0.0,12.0,6,0.0,0.6667,0.0,332,
58,3200,-5.0,0.0,8.0,4,0.0,0.5,0.0,332,
59,3200,-5.0,0.0,16.0,8,0.0,0.5,0.0,332,
60,3200,-5.0,0.0,14.0,7,0.5714,0.2857,0.0,332,
61,3200,-4.0,0.0,8.0,4,0.0,0.5,0.0,332,
62,3200,-5.0,0.0,6.0,3,0.6667,0.6667,0.0,332,
63,3200,-5.0,0.0,10.0,5,0.4,0.2,0.0,332,
64,3200,-4.0,0.0,18.0,9,0.2222,0.6667,0.0,332,
65,3200,-4.0,0.0,10.0,5,0.4,0.6,0.0,332,
66,3200,-5.0,0.0,10.0,5,0.2,0.6,0.0,332,
67,3520,-5.0,0.0,7.84,4,0.0,0.25,0.0,353,
68,3648,-0.5,0.0,28.57,2,0.0,0.0,0.0,365,
69,3648,-1.5,0.0,28.57,2,0.0,0.0,0.0,365,
70,3648,-5.0,0.0,9.8,5,0.2,0.6,0.0,365,
71,3776,-3.3,0.0,20.0,5,0.0,0.8,0.0,383,
72,3840,-5.0,0.0,11.76,6,0.1667,0.1667,0.0,389,
73,3904,11.0,1.0,9.09,1,0.0,0.0,0.0,397,
74,4160,10.6,1.0,13.33,2,0.5,0.0,0.0,420,
75,4224,-2.4,0.0,18.75,3,0.0,0.6667,0.0,428,
76,4224,-2.4,0.0,18.75,3,0.3333,0.6667,0.0,428,
77,4224,10.5,1.0,12.5,2,0.0,0.5,0.0,428,
78,4288,-2.5,0.0,5.88,1,0.0,0.0,0.0,438,
79,4288,-2.5,0.0,11.76,2,0.0,0.5,0.0,438,
80,4288,10.4,1.0,0.0,0,,,0.0,438,
81,4288,10.4,1.0,11.76,2,0.0,0.5,0.0,438,
82,4416,-5.0,0.0,9.8,5,0.2,0.6,0.0,458,
83,4416,-5.0,0.0,13.73,7,0.1429,0.5714,0.0,458,
84,4544,-2.9,0.0,9.52,2,0.0,0.0,0.0,468,
85,4544,-5.0,0.0,5.88,3,0.0,0.3333,0.0,468,
86,4800,-4.0,0.0,5.88,3,0.0,1.0,0.0,496,
87,4928,9.4,1.0,7.41,2,0.0,0.5,0.0,508,
88,4992,-2.6,0.0,7.14,2,0.0,0.5,0.0,516,
89,4992,-2.6,0.0,17.86,5,0.0,0.4,0.0,516,
90,4992,-5.0,0.0,11.76,6,0.0,0.3333,0.0,516,
91,5056,-3.7,0.0,24.14,7,0.0,0.4286,0.0,523,
92,5120,-5.0,0.0,5.88,3,0.3333,0.3333,0.0,530,
93,5184,-2.4,0.0,6.25,1,0.0,0.0,0.0,537,
94,5376,-4.0,0.0,11.76,6,0.0,0.6667,0.0,556,
95,5440,-4.3,0.0,8.57,3,0.3333,0.3333,0.0,564,
96,5440,-4.0,0.0,3.92,2,0.0,0.0,0.0,564,
97,5504,-5.0,0.0,5.88,3,0.0,0.0,0.0,568,
98,5888,-4.0,0.0,4.76,2,0.0,0.5,0.0,599,
99,5952,-4.0,0.0,7.84,4,0.25,0.5,0.0,602,
100,5952,-5.0,0.0,3.92,2,0.0,1.0,0.0,602,
101,6144,-5.4,0.0,10.87,5,0.0,0.4,0.0,624,
102,6144,-5.0,0.0,7.84,4,0.5,0.5,0.0,624,
103,6272,11.5,1.0,0.0,0,,,0.0,636,
104,6400,-5.0,0.0,5.88,3,0.3333,0.3333,0.0,648,
105,6464,-5.0,0.0,0.0,0,,,0.0,656,
106,6464,-5.0,0.0,7.84,4,0.0,1.0,0.0,656,
107,6464,-4.0,0.0,13.73,7,0.2857,0.4286,0.0,656,
108,6464,-4.0,0.0,17.65,9,0.6667,0.8889,0.0,656,
109,6464,-4.0,0.0,11.76,6,0.8333,0.6667,0.0,656,
110,6464,-5.0,0.0,5.88,3,0.6667,0.6667,0.0,656,
111,6464,-5.0,0.0,9.8,5,0.2,0.2,0.0,656,
112,6464,-5.0,0.0,11.76,6,0.3333,0.5,0.0,656,
113,6464,-5.0,0.0,11.76,6,0.3333,0.3333,0.0,656,
114,6464,-5.0,0.0,7.84,4,0.25,0.5,0.0,656,
115,6464,-5.0,0.0,7.84,4,0.0,0.0,0.0,656,
116,6464,-4.0,0.0,9.8,5,0.2,0.2,0.0,656,
117,6464,-5.0,0.0,7.84,4,0.5,0.5,0.0,656,
118,6464,-4.0,0.0,17.65,9,0.0,0.6667,0.0,656,
119,6464,-5.0,0.0,7.84,4,0.25,0.75,0.0,656,
120,6464,-5.0,0.0,5.88,3,0.0,0.3333,0.0,656,
121,6464,-5.0,0.0,1.96,1,0.0,0.0,0.0,656,
122,6464,-5.0,0.0,9.8,5,0.0,0.8,0.0,656,
123,6464,-4.0,0.0,7.84,4,0.0,0.5,0.0,656,
124,6464,-4.0,0.0,5.88,3,0.3333,0.6667,0.0,656,
125,6464,-5.0,0.0,11.76,6,0.1667,0.1667,0.0,656,
126,6464,-4.0,0.0,9.8,5,0.0,0.0,0.0,656,
127,6464,-5.0,0.0,7.84,4,0.0,0.25,0.0,656,
128,6464,-5.0,0.0,9.8,5,0.2,0.6,0.0,656,
129,6464,-4.0,0.0,11.76,6,0.0,0.3333,0.0,656,
130,6464,-5.0,0.0,11.76,6,0.0,0.3333,0.0,656,
131,6464,-5.0,0.0,9.8,5,0.0,0.6,0.0,656,
132,6464,-5.0,0.0,5.88,3,0.0,0.6667,0.0,656,
133,6784,-5.0,0.0,11.76,6,0.3333,0.6667,0.0,679,
134,6912,-2.3,0.0,6.67,1,0.0,0.0,0.0,699,
135,6912,-5.0,0.0,9.8,5,0.0,0.8,0.0,699,
136,6912,-2.1,0.0,13.04,3,0.0,0.3333,0.0,699,
137,6912,-5.0,0.0,19.61,10,0.1,0.6,0.0,699,
138,6912,-5.0,0.0,13.73,7,0.1429,0.5714,0.0,699,
139,7040,-5.2,0.0,13.64,6,0.3333,0.8333,0.0,715,
140,7040,-4.0,0.0,17.65,9,0.2222,0.7778,0.0,715,
141,7104,-5.0,0.0,3.92,2,0.0,0.0,0.0,722,
142,7104,-0.8,0.0,30.0,3,0.0,0.3333,0.0,722,
143,7168,-5.0,0.0,13.73,7,0.0,0.4286,0.0,728,
144,7232,-1.0,0.0,8.33,1,0.0,0.0,0.0,733,
145,7296,10.8,1.0,30.77,4,0.25,0.75,0.0,737,
146,7424,-5.3,0.0,6.67,3,0.0,0.0,0.0,750,
147,7488,-4.0,0.0,23.53,12,0.25,0.5,0.0,757,
148,7488,-4.0,0.0,5.88,3,0.0,0.3333,0.0,757,
149,7552,-4.0,0.0,15.69,8,0.0,0.375,0.0,761,
150,7552,-5.0,0.0,1.96,1,0.0,1.0,0.0,761,
151,7552,-2.5,0.0,23.53,4,0.0,0.25,0.0,761,
152,7552,-5.0,0.0,7.84,4,0.25,0.5,0.0,761,
153,7552,-5.0,0.0,7.84,4,0.0,0.75,0.0,761,
154,7680,-5.0,0.0,9.8,5,0.2,0.4,0.0,773,
155,7680,-5.0,0.0,13.73,7,0.2857,0.4286,0.0,773,
156,7808,-5.0,0.0,15.69,8,0.25,0.625,0.0,784,
157,7872,-3.0,0.0,4.55,1,0.0,0.0,0.0,790,
158,8000,-3.2,0.0,8.33,2,0.0,0.5,0.0,800,
159,8064,-4.0,0.0,5.88,3,0.3333,0.3333,0.0,810,
160,8128,-1.7,0.0,22.22,2,0.0,0.0,0.0,817,
161,8192,-2.5,0.0,3.7,1,0.0,0.0,0.0,827,
162,8192,-4.0,0.0,15.69,8,0.125,0.25,0.0,827,
