episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,0.8,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,0.8,68,
3,768,-2.9,0.0,16.67,2,0.0,0.5,0.8,78,
4,896,-2.3,0.0,7.14,1,0.0,0.0,0.8,93,
5,960,-2.4,0.0,6.67,1,0.0,0.0,0.8,99,
6,960,-4.8,0.0,26.67,4,0.0,0.25,0.8,99,
7,1024,9.6,1.0,6.25,1,0.0,0.0,0.8,107,
8,1088,-3.4,0.0,11.76,2,0.5,0.0,0.8,116,
9,1152,-2.7,0.0,5.56,1,0.0,0.0,0.8,124,
10,1152,-3.5,0.0,11.11,2,0.0,0.5,0.8,124,
11,1280,-5.1,0.0,25.0,5,0.0,0.2,0.8,134,
12,1344,-3.8,0.0,9.52,2,0.0,0.0,0.8,139,
13,1408,-4.7,0.0,13.64,3,0.3333,0.0,0.8,146,
14,1408,-3.9,0.0,9.09,2,0.5,0.0,0.8,146,
15,1536,-3.3,0.0,4.17,1,0.0,0.0,0.8,160,
16,1728,-4.4,0.0,7.41,2,0.0,0.0,0.8,176,
17,1728,-3.4,0.0,7.41,2,0.0,0.0,0.8,176,
18,1792,-6.1,0.0,14.29,4,0.0,0.25,0.8,182,
19,1792,-3.5,0.0,7.14,2,0.5,0.0,0.8,182,
20,1856,-6.2,0.0,13.79,4,0.0,0.0,0.8,192,
21,2112,7.1,1.0,6.06,2,0.5,0.0,0.8,213,
22,2176,-2.6,0.0,20.0,2,0.0,0.0,0.8,221,
23,2240,-6.8,0.0,11.43,4,0.0,0.25,0.8,228,
24,2240,-7.6,0.0,14.29,5,0.0,0.2,0.8,228,
25,2304,4.4,1.0,13.89,5,0.0,0.2,0.8,233,
26,2304,-7.5,0.0,16.67,6,0.1667,0.3333,0.8,233,
27,2432,-4.5,0.0,5.26,2,0.0,0.0,0.8,246,
28,2432,-7.9,0.0,13.16,5,0.0,0.2,0.8,246,
