episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,1.0,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,1.0,68,
3,768,-3.1,0.0,16.67,2,0.0,0.5,1.0,78,
4,896,-2.3,0.0,7.14,1,0.0,0.0,1.0,93,
5,960,-2.4,0.0,6.67,1,0.0,0.0,1.0,99,
6,960,-5.4,0.0,26.67,4,0.0,0.25,1.0,99,
7,1024,9.4,1.0,6.25,1,0.0,0.0,1.0,107,
8,1088,-3.6,0.0,11.76,2,0.5,0.0,1.0,116,
9,1152,-2.7,0.0,5.56,1,0.0,0.0,1.0,124,
10,1152,-3.7,0.0,11.11,2,0.0,0.5,1.0,124,
11,1280,-5.9,0.0,25.0,5,0.0,0.2,1.0,134,
12,1344,-4.0,0.0,9.52,2,0.0,0.0,1.0,139,
13,1408,-5.1,0.0,13.64,3,0.3333,0.0,1.0,146,
14,1408,-4.1,0.0,9.09,2,0.5,0.0,1.0,146,
15,1536,-3.3,0.0,4.17,1,0.0,0.0,1.0,160,
16,1728,-4.6,0.0,7.41,2,0.0,0.0,1.0,176,
17,1728,-3.6,0.0,7.41,2,0.0,0.0,1.0,176,
18,1792,-6.7,0.0,14.29,4,0.0,0.25,1.0,182,
19,1792,-3.7,0.0,7.14,2,0.5,0.0,1.0,182,
20,1856,-6.8,0.0,13.79,4,0.0,0.0,1.0,192,
21,2112,6.7,1.0,6.06,2,0.5,0.0,1.0,213,
22,2176,-2.8,0.0,20.0,2,0.0,0.0,1.0,221,
23,2240,-7.4,0.0,11.43,4,0.0,0.25,1.0,228,
24,2240,-8.4,0.0,14.29,5,0.0,0.2,1.0,228,
25,2304,3.4,1.0,13.89,5,0.0,0.2,1.0,233,
26,2304,-8.5,0.0,16.67,6,0.1667,0.3333,1.0,233,
27,2432,-4.7,0.0,5.26,2,0.0,0.0,1.0,246,
28,2432,-8.7,0.0,13.16,5,0.0,0.2,1.0,246,
29,2496,-1.3,0.0,20.0,1,0.0,0.0,1.0,253,
30,2496,-8.8,0.0,12.82,5,0.0,0.2,1.0,253,
31,2560,-4.9,0.0,5.0,2,0.0,0.0,1.0,261,
32,2752,-7.2,0.0,6.98,3,0.3333,0.0,1.0,284,
33,2880,-5.6,0.0,14.29,4,0.25,0.0,1.0,297,
34,2944,-7.5,0.0,8.7,4,0.0,0.25,1.0,301,
35,3008,-6.6,0.0,6.38,3,0.0,0.0,1.0,305,
