episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
90,4608,-4.0,0.0,15.69,8,0.0,1.0,0.0,440,
91,4608,10.8,1.0,7.69,1,0.0,1.0,0.0,440,
92,4608,7.1,1.0,4.0,2,0.0,1.0,0.0,440,
93,4736,-3.2,0.0,16.67,4,0.0,0.75,0.0,452,
94,4800,-3.3,0.0,8.0,2,0.0,0.5,0.0,458,
95,4864,-4.0,0.0,11.76,6,0.0,1.0,0.0,465,
96,4928,-4.0,0.0,3.92,2,0.5,1.0,0.0,471,
97,4992,-2.6,0.0,7.14,2,0.0,0.5,0.0,478,
98,4992,9.3,1.0,10.71,3,0.6667,1.0,0.0,478,
99,5056,-5.6,0.0,10.42,5,0.2,0.8,0.0,486,
100,5056,-3.7,0.0,10.34,3,0.3333,0.6667,0.0,486,
101,5056,-4.0,0.0,6.25,2,0.0,0.5,0.0,486,
102,5120,-5.0,0.0,9.8,5,0.0,1.0,0.0,490,
103,5120,-5.0,0.0,5.88,3,0.3333,1.0,0.0,490,
104,5184,-4.5,0.0,10.64,5,0.0,0.8,0.0,497,
105,5184,-2.9,0.0,3.23,1,0.0,0.0,0.0,497,
106,5184,-5.7,0.0,6.12,3,0.0,0.6667,0.0,497,
107,5312,-5.0,0.0,5.88,3,0.3333,1.0,0.0,507,
108,5504,-1.4,0.0,12.5,2,0.0,0.5,0.0,521,
109,5568,-5.0,0.0,9.8,5,0.2,1.0,0.0,526,
110,5568,7.1,1.0,14.0,7,0.0,1.0,0.0,526,
111,5632,10.4,1.0,17.65,3,0.0,1.0,0.0,529,
112,5632,-4.2,0.0,4.55,2,0.0,0.5,0.0,529,
113,5696,-4.7,0.0,12.82,5,0.4,0.8,0.0,534,
114,5760,-5.0,0.0,3.92,2,1.0,1.0,0.0,538,
115,5888,-3.2,0.0,8.33,2,0.0,0.5,0.0,551,
116,5952,-5.0,0.0,11.76,6,0.5,1.0,0.0,555,
117,5952,-4.0,0.0,9.8,5,0.0,1.0,0.0,555,
118,5952,-4.0,0.0,13.73,7,0.2857,1.0,0.0,555,
119,5952,7.8,1.0,13.95,6,0.1667,1.0,0.0,555,
120,6144,-3.2,0.0,4.17,1,0.0,0.0,0.0,571,
121,6208,-3.8,0.0,3.33,1,0.0,0.0,0.0,578,
122,6208,-5.0,0.0,7.84,4,0.0,1.0,0.0,578,
123,6272,-2.6,0.0,7.14,2,0.5,0.5,0.0,583,
124,6336,7.2,1.0,10.2,5,0.2,1.0,0.0,591,
125,6336,-5.0,0.0,7.84,4,0.25,1.0,0.0,591,
126,6336,-5.7,0.0,6.12,3,0.0,0.6667,0.0,591,
127,6400,-4.8,0.0,14.0,7,0.1429,0.8571,0.0,600,
128,6400,-3.1,0.0,8.7,2,0.0,0.5,0.0,600,
129,6400,-4.0,0.0,13.73,7,0.1429,1.0,0.0,600,
130,6464,-5.0,0.0,7.84,4,0.25,1.0,0.0,606,
131,6464,-4.0,0.0,13.73,7,0.2857,1.0,0.0,606,
132,6464,-5.0,0.0,11.76,6,0.1667,1.0,0.0,606,
133,6464,-5.0,0.0,7.84,4,0.5,1.0,0.0,606,
134,6464,-5.0,0.0,9.8,5,0.6,1.0,0.0,606,
135,6464,-5.0,0.0,13.73,7,0.2857,1.0,0.0,606,
136,6464,-4.0,0.0,3.92,2,0.0,1.0,0.0,606,
137,6464,-5.0,0.0,7.84,4,0.0,1.0,0.0,606,
138,6464,-4.0,0.0,9.8,5,0.6,1.0,0.0,606,
139,6464,-5.0,0.0,5.88,3,0.3333,1.0,0.0,606,
140,6464,-4.0,0.0,13.73,7,0.0,1.0,0.0,606,
141,6464,-5.0,0.0,7.84,4,0.25,1.0,0.0,606,
142,6464,-5.0,0.0,15.69,8,0.25,1.0,0.0,606,
143,6464,-4.0,0.0,7.84,4,0.0,1.0,0.0,606,
144,6464,9.2,1.0,3.45,1,0.0,1.0,0.0,606,
145,6592,-4.0,0.0,19.61,10,0.1,1.0,0.0,618,
146,6656,11.5,1.0,16.67,1,0.0,1.0,0.0,623,
147,6656,10.4,1.0,11.76,2,0.0,1.0,0.0,623,
148,6656,-5.0,0.0,1.96,1,0.0,1.0,0.0,623,
149,6720,-4.0,0.0,11.76,6,0.3333,1.0,0.0,629,
150,6720,-3.2,0.0,8.33,2,0.0,0.5,0.0,629,
151,6784,-5.0,0.0,9.8,5,0.0,1.0,0.0,634,
152,6784,-1.5,0.0,14.29,1,0.0,0.0,0.0,634,
153,6912,-4.1,0.0,9.09,3,0.0,0.6667,0.0,647,
154,6976,-4.1,0.0,6.06,2,0.5,0.5,0.0,653,
155,6976,-1.6,0.0,12.5,1,0.0,0.0,0.0,653,
156,6976,-4.9,0.0,2.44,1,0.0,0.0,0.0,653,
157,6976,-5.0,0.0,9.8,5,0.4,1.0,0.0,653,
158,7232,-2.8,0.0,15.0,3,0.0,0.6667,0.0,681,
159,7232,-4.0,0.0,9.8,5,0.4,1.0,0.0,681,
160,7232,-4.0,0.0,7.84,4,0.25,1.0,0.0,681,
161,7296,-3.5,0.0,11.11,3,0.3333,0.6667,0.0,687,
162,7296,-1.5,0.0,11.76,2,0.0,0.5,0.0,687,
163,7424,-3.4,0.0,8.33,3,0.3333,0.6667,0.0,702,
164,7552,-1.9,0.0,4.76,1,0.0,0.0,0.0,718,
165,7552,-2.5,0.0,11.76,2,0.0,0.5,0.0,718,
166,7616,-5.0,0.0,7.84,4,0.0,1.0,0.0,721,
167,7616,-4.0,0.0,15.69,8,0.375,1.0,0.0,721,
168,7616,-5.0,0.0,7.84,4,0.5,1.0,0.0,721,
169,7744,-5.0,0.0,9.8,5,0.4,1.0,0.0,732,
170,7872,-5.0,0.0,7.84,4,0.75,1.0,0.0,741,
171,7936,11.0,1.0,9.09,1,0.0,1.0,0.0,748,
172,8000,-5.0,0.0,5.88,3,0.3333,1.0,0.0,754,
173,8192,7.3,1.0,12.5,6,0.0,1.0,0.0,775,
174,8192,-1.2,0.0,14.29,2,0.0,0.5,0.0,775,
175,8256,-5.0,0.0,9.8,5,0.4,1.0,0.0,783,
176,8256,-4.0,0.0,7.84,4,0.75,1.0,0.0,783,
177,8256,-2.8,0.0,5.0,1,0.0,0.0,0.0,783,
178,8320,-4.0,0.0,7.84,4,0.5,1.0,0.0,792,
179,8320,-5.0,0.0,5.88,3,0.0,1.0,0.0,792,
180,8320,-4.0,0.0,7.84,4,0.25,1.0,0.0,792,
181,8448,-4.0,0.0,9.8,5,0.2,1.0,0.0,799,
182,8448,9.0,1.0,16.13,5,0.0,1.0,0.0,799,
183,8448,-5.0,0.0,3.92,2,1.0,1.0,0.0,799,
184,8512,-4.0,0.0,21.88,7,0.0,0.8571,0.0,805,
185,8576,-4.0,0.0,1.96,1,0.0,1.0,0.0,814,
186,8576,7.5,1.0,23.91,11,0.0909,1.0,0.0,814,
187,8704,11.3,1.0,25.0,2,0.0,1.0,0.0,825,
188,8768,-4.6,0.0,10.53,4,0.0,0.75,0.0,832,
189,8768,-5.0,0.0,5.88,3,0.3333,1.0,0.0,832,
190,8896,-5.0,0.0,11.76,6,0.5,1.0,0.0,840,
191,8896,-4.6,0.0,5.26,2,0.0,0.5,0.0,840,
192,8960,-5.0,0.0,5.88,3,0.3333,1.0,0.0,846,
193,9024,-3.1,0.0,13.04,3,0.6667,0.6667,0.0,853,
194,9024,-5.0,0.0,7.84,4,0.25,1.0,0.0,853,
195,9152,-5.0,0.0,5.88,3,1.0,1.0,0.0,861,
196,9152,-3.2,0.0,12.5,3,0.0,0.6667,0.0,861,
197,9152,-4.0,0.0,2.38,1,0.0,0.0,0.0,861,
198,9216,-5.0,0.0,7.84,4,0.0,1.0,0.0,866,
199,9216,-4.0,0.0,3.92,2,0.5,1.0,0.0,866,
200,9216,-5.0,0.0,7.84,4,0.0,1.0,0.0,866,
201,9280,-2.1,0.0,7.69,1,0.0,0.0,0.0,872,
202,9280,-4.7,0.0,8.16,4,0.0,0.75,0.0,872,
203,9280,-4.3,0.0,8.89,4,0.0,0.75,0.0,872,
204,9472,-4.2,0.0,6.82,3,0.3333,0.6667,0.0,890,
205,9536,7.6,1.0,22.22,10,0.1,1.0,0.0,898,
206,9600,-5.0,0.0,13.73,7,0.4286,1.0,0.0,906,
207,9600,11.5,1.0,16.67,1,0.0,1.0,0.0,906,
208,9664,-4.0,0.0,5.88,3,0.6667,1.0,0.0,916,
209,9664,-5.0,0.0,7.84,4,0.75,1.0,0.0,916,
210,9664,-1.6,0.0,12.5,1,0.0,0.0,0.0,916,
211,9728,-4.0,0.0,11.76,6,0.1667,1.0,0.0,925,
212,9728,11.4,1.0,28.57,2,0.0,1.0,0.0,925,
213,9728,-4.0,0.0,11.76,6,0.3333,1.0,0.0,925,
214,9728,-3.7,0.0,12.82,5,0.2,0.8,0.0,925,
215,9728,-5.0,0.0,3.92,2,0.5,1.0,0.0,925,
216,9728,-4.0,0.0,23.53,12,0.0833,1.0,0.0,925,
217,9728,-4.0,0.0,3.92,2,0.0,1.0,0.0,925,
218,9728,-5.0,0.0,5.88,3,0.0,1.0,0.0,925,
219,9728,-5.0,0.0,5.88,3,0.6667,1.0,0.0,925,
220,9728,-5.0,0.0,17.65,9,0.2222,1.0,0.0,925,
221,9728,-5.0,0.0,5.88,3,0.0,1.0,0.0,925,
222,9792,-0.8,0.0,10.0,1,0.0,0.0,0.0,929,
223,9856,-5.0,0.0,5.88,3,1.0,1.0,0.0,936,
224,9856,-2.1,0.0,7.69,1,0.0,0.0,0.0,936,
225,9856,-1.9,0.0,18.18,2,0.0,0.5,0.0,936,
226,9920,-5.0,0.0,5.88,3,0.0,1.0,0.0,941,
227,9920,11.8,1.0,0.0,0,,,0.0,941,
228,9984,-5.0,0.0,7.84,4,0.0,1.0,0.0,946,
229,9984,-5.0,0.0,11.76,6,0.1667,1.0,0.0,946,
230,9984,-3.4,0.0,7.69,2,0.0,0.5,0.0,946,
231,10048,-5.0,0.0,7.84,4,0.5,1.0,0.0,950,
232,10048,-4.0,0.0,15.69,8,0.125,1.0,0.0,950,
233,10176,-4.3,0.0,13.33,6,0.3333,0.8333,0.0,963,
234,10176,-5.0,0.0,1.96,1,0.0,1.0,0.0,963,
235,10240,-4.0,0.0,11.76,6,0.5,1.0,0.0,972,
