episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,0.8,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,0.8,68,
3,768,-2.9,0.0,16.67,2,0.0,0.5,0.8,78,
4,896,-2.3,0.0,7.14,1,0.0,0.0,0.8,93,
5,960,-2.4,0.0,6.67,1,0.0,0.0,0.8,99,
6,960,-4.8,0.0,26.67,4,0.0,0.25,0.8,99,
7,1024,9.6,1.0,6.25,1,0.0,0.0,0.8,107,
8,1088,-3.4,0.0,11.76,2,0.5,0.0,0.8,116,
9,1152,-2.7,0.0,5.56,1,0.0,0.0,0.8,124,
10,1152,-3.5,0.0,11.11,2,0.0,0.5,0.8,124,
11,1152,7.0,1.0,22.22,4,0.0,0.75,0.8,124,
12,1280,-5.1,0.0,25.0,5,0.0,0.2,0.8,134,
13,1344,-3.8,0.0,9.52,2,0.0,0.0,0.8,139,
14,1408,-4.7,0.0,13.64,3,0.3333,0.0,0.8,146,
15,1408,-3.9,0.0,9.09,2,0.0,0.5,0.8,146,
16,1536,-3.3,0.0,4.17,1,0.0,0.0,0.8,160,
17,1728,-4.4,0.0,7.41,2,0.0,0.0,0.8,176,
18,1728,6.1,1.0,14.81,4,0.0,0.5,0.8,176,
19,1728,-3.4,0.0,7.41,2,0.0,0.0,0.8,176,
20,1792,-6.1,0.0,14.29,4,0.0,0.25,0.8,182,
21,1792,-3.5,0.0,7.14,2,0.5,0.0,0.8,182,
22,1984,-5.6,0.0,9.68,3,0.0,0.6667,0.8,207,
23,2048,4.8,1.0,15.62,5,0.0,0.6,0.8,209,
24,2112,7.1,1.0,6.06,2,0.5,0.0,0.8,213,
25,2112,-5.0,0.0,6.06,2,0.0,0.5,0.8,213,
26,2304,-7.5,0.0,16.67,6,0.1667,0.3333,0.8,233,
27,2432,-4.5,0.0,5.26,2,0.0,0.0,0.8,246,
28,2496,-3.9,0.0,20.0,3,0.0,0.0,0.8,253,
