=== Oracle gratuit | seed=1 ===
Run: oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229
  device=cuda, batch=1024, updates=488
  CSV → logs/oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229.csv
  obs=(64, 64, 3), n_actions=8, query_action=7
  params=67,167,753
[ 410/488] step= 419840 | ep=22346 | return= 0.977 | guided%= 88.5 | bc=0.0000 | cumQ=346975 | bc_coef=0.000 | sps=459
[ 420/488] step= 430080 | ep=22909 | return= 0.977 | guided%= 89.8 | bc=0.0000 | cumQ=356253 | bc_coef=0.000 | sps=459
[ 430/488] step= 440320 | ep=23477 | return= 0.976 | guided%= 91.2 | bc=0.0000 | cumQ=365532 | bc_coef=0.000 | sps=459
[ 440/488] step= 450560 | ep=24056 | return= 0.977 | guided%= 89.9 | bc=0.0000 | cumQ=374882 | bc_coef=0.000 | sps=459
[ 450/488] step= 460800 | ep=24631 | return= 0.977 | guided%= 91.3 | bc=0.0000 | cumQ=384258 | bc_coef=0.000 | sps=459
[ 460/488] step= 471040 | ep=25213 | return= 0.977 | guided%= 91.0 | bc=0.0000 | cumQ=393617 | bc_coef=0.000 | sps=459
[ 470/488] step= 481280 | ep=25790 | return= 0.977 | guided%= 90.1 | bc=0.0000 | cumQ=402833 | bc_coef=0.000 | sps=459
[ 480/488] step= 491520 | ep=26361 | return= 0.976 | guided%= 89.7 | bc=0.0000 | cumQ=412032 | bc_coef=0.000 | sps=459
Generating plots...
Plots → figures/oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229.png
=== Oracle payant  | seed=1 ===
Run: oracle_paid__MiniGrid-DoorKey-8x8-v0__seed1__1777318344
  device=cuda, batch=1024, updates=488
  CSV → logs/oracle_paid__MiniGrid-DoorKey-8x8-v0__seed1__1777318344.csv
  obs=(64, 64, 3), n_actions=8, query_action=7
  params=67,167,753
