episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,80,-2.05,0.0,20.0,2,0.0,0.0,6,
2,88,10.95,1.0,27.27,3,0.0,0.3333,7,
3,104,-1.2,0.0,33.33,1,0.0,0.0,9,
4,216,-2.5,0.0,3.7,1,0.0,0.0,19,
5,272,8.65,1.0,8.82,3,0.0,0.0,26,
6,288,-3.55,0.0,5.56,2,0.0,0.0,28,
7,312,-1.4,0.0,20.0,1,0.0,0.0,29,
8,352,7.55,1.0,15.91,7,0.0,0.0,36,
9,424,8.25,1.0,17.5,7,0.0,0.4286,44,
10,440,-5.1,0.0,2.27,1,0.0,0.0,46,
11,488,-7.35,0.0,9.84,6,0.0,0.0,49,
12,568,-4.3,0.0,8.57,3,0.0,0.3333,61,
13,584,-2.85,0.0,10.0,2,0.0,0.0,64,
14,688,-5.95,0.0,21.28,10,0.0,0.0,77,
15,768,-4.35,0.0,11.43,4,0.0,0.25,84,
16,768,-1.65,0.0,20.0,2,0.0,0.0,84,
17,880,-7.5,0.0,1.52,1,0.0,0.0,95,
18,968,-4.6,0.0,6.25,3,0.0,0.0,100,
19,1000,-3.7,0.0,3.45,1,0.0,0.0,103,
20,1016,-6.65,0.0,10.71,6,0.0,0.3333,106,
21,1064,8.4,1.0,16.22,6,0.0,0.1667,109,
22,1136,-4.05,0.0,12.5,4,0.0,0.5,117,
23,1136,-11.95,0.0,12.17,14,0.0,0.1429,117,
24,1216,-3.7,0.0,3.23,1,0.0,0.0,125,
25,1248,9.35,1.0,10.34,3,0.0,0.0,128,
26,1296,8.45,1.0,8.11,3,0.0,0.0,132,
27,1400,-4.1,0.0,9.09,3,0.0,0.0,143,
28,1488,-4.25,0.0,5.88,2,0.0,0.0,153,
29,1536,-2.5,0.0,5.88,1,0.0,0.0,158,
30,1600,-19.65,0.0,10.5,21,0.0,0.381,168,
31,1600,-1.05,0.0,14.29,2,0.0,0.0,168,
32,1696,-2.1,0.0,8.33,1,0.0,0.0,184,
33,1928,-3.75,0.0,9.76,4,0.0,0.0,212,
34,1944,-11.4,0.0,10.89,11,0.0,0.0,215,
35,2048,-8.45,0.0,8.46,17,0.0,0.0,225,
36,2136,4.45,1.0,14.67,11,0.0,0.1818,233,
37,2184,8.95,1.0,21.88,7,0.0,0.0,242,
38,2424,-2.6,0.0,15.6,22,0.0,0.2273,274,
39,2520,6.0,1.0,13.56,8,0.0,0.0,291,
40,2520,-1.85,0.0,16.67,2,0.0,0.5,291,
41,2608,7.0,1.0,11.32,6,0.0,0.5,305,
42,2664,-8.8,0.0,16.0,32,0.0,0.0,310,
43,2776,-1.9,0.0,10.37,14,0.0,0.0,320,
44,2856,-21.25,0.0,13.43,27,0.0,0.0,332,
45,2912,-3.9,0.0,9.68,3,0.0,0.0,341,
46,2952,-6.35,0.0,11.11,6,0.0,0.0,347,
47,2992,-3.7,0.0,18.52,5,0.0,0.0,354,
48,3024,-15.1,0.0,15.56,21,0.0,0.0,358,
49,3208,-7.15,0.0,8.0,6,0.0,0.1667,375,
50,3224,-3.35,0.0,8.0,2,0.0,0.0,378,
51,3272,-4.5,0.0,20.0,9,0.0,0.1111,385,
52,3272,8.6,1.0,11.43,4,0.0,0.0,385,
53,3352,-2.7,0.0,16.67,3,0.0,0.3333,401,
54,3416,-8.05,0.0,11.43,8,0.0,0.0,409,
55,3472,-1.65,0.0,28.57,2,0.0,0.0,419,
56,3536,-3.35,0.0,26.09,6,0.0,0.0,427,
57,3568,-8.9,0.0,6.49,5,0.0,0.0,429,
58,3632,10.45,1.0,15.0,3,0.0,0.3333,432,
59,3648,-15.75,0.0,12.77,18,0.0,0.0,436,
60,3744,-19.9,0.0,12.94,26,0.0,0.0,451,
61,3800,10.35,1.0,5.26,1,0.0,0.0,458,
62,3968,9.4,1.0,14.29,4,0.0,0.0,492,
63,4240,-10.3,0.0,12.5,11,0.0,0.0,541,
64,4256,-8.1,0.0,16.67,13,0.0,0.0,545,
65,4264,-13.95,0.0,14.52,18,0.0,0.0,547,
66,4288,11.65,1.0,16.67,1,0.0,0.0,551,
67,4336,-15.15,0.0,18.05,24,0.0,0.0417,561,
68,4392,6.7,1.0,15.09,8,0.0,0.0,573,
69,4440,-2.25,0.0,30.77,4,0.0,0.0,580,
